ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,FitValue,Word,Category
112,114,111,103,114,101,115,115,0,0,0,0,0.004199806688575294,progress,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.0041984306880799484,please,booking_error
114,101,116,114,121,0,0,0,0,0,0,0,0.004196354869816779,retry,booking_error
97,118,97,105,108,97,98,105,108,116,121,0,0.004200665807146843,availabilty,booking_error
102,111,117,110,100,0,0,0,0,0,0,0,0.004198804329020972,found,booking_error
114,101,115,101,114,118,97,116,105,111,110,0,0.0042028376792248735,reservation,booking_error
114,101,113,117,101,115,116,0,0,0,0,0,0.00420181198761368,request,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004200446422594263,please,booking_error
116,114,121,0,0,0,0,0,0,0,0,0,0.004198373772396947,try,booking_error
99,111,114,114,101,99,116,0,0,0,0,0,0.004197542410407537,correct,booking_error
114,111,111,109,116,121,112,101,99,111,100,101,0.004203440752121911,roomtypecode,booking_error
110,97,116,105,118,101,0,0,0,0,0,0,0.004201977253409042,native,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.004199906521813477,room,booking_error
114,97,116,101,0,0,0,0,0,0,0,0,0.004197974766209654,rate,booking_error
113,117,101,114,121,105,100,0,0,0,0,0,0.004197014359509028,queryid,booking_error
114,101,113,114,97,116,101,112,108,97,110,105,0.004205171739019461,reqrateplanid,booking_error
114,101,113,114,111,111,109,116,121,112,101,105,0.004212968637159865,reqroomtypeid,booking_error
115,117,112,112,108,105,101,114,114,97,116,101,0.004234949322261571,supplierrateplanid,booking_error
115,117,112,112,108,105,101,114,114,111,111,109,0.0042564513381835745,supplierroomtypeid,booking_error
115,117,112,112,108,105,101,114,114,97,116,101,0.004293252640287394,supplierrateplanstatus,booking_error
97,118,97,105,108,97,98,105,108,116,121,0,0.004297207048753008,availabilty,booking_error
102,111,117,110,100,0,0,0,0,0,0,0,0.004295311611942184,found,booking_error
114,101,115,101,114,118,97,116,105,111,110,0,0.004298994062224331,reservation,booking_error
114,101,113,117,101,115,116,0,0,0,0,0,0.004297864623139943,request,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.0042964323936658865,please,booking_error
116,114,121,0,0,0,0,0,0,0,0,0,0.004294367128591431,try,booking_error
99,111,114,114,101,99,116,0,0,0,0,0,0.004293430139897291,correct,booking_error
114,111,111,109,116,121,112,101,99,111,100,101,0.004298900662105414,roomtypecode,booking_error
110,97,116,105,118,101,0,0,0,0,0,0,0.004297372556587908,native,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.004295293015738921,room,booking_error
114,97,116,101,0,0,0,0,0,0,0,0,0.004293350803210641,rate,booking_error
111,110,101,0,0,0,0,0,0,0,0,0,0.004291530645930382,one,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.004289460422755885,room,booking_error
116,105,109,101,0,0,0,0,0,0,0,0,0.0042875034789869185,time,booking_error
109,97,121,0,0,0,0,0,0,0,0,0,0.004285651544569349,may,booking_error
114,101,115,101,114,118,101,100,0,0,0,0,0.004285536799755905,reserved,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004284137009750694,please,booking_error
114,101,115,117,98,109,105,116,0,0,0,0,0.004283939100204797,resubmit,booking_error
98,111,111,107,105,110,103,0,0,0,0,0,0.004283099306562636,booking,booking_error
114,101,113,117,101,115,116,0,0,0,0,0,0.00428201279894178,request,booking_error
112,111,115,116,97,108,0,0,0,0,0,0,0.004280430549329695,postal,booking_error
99,111,100,101,0,0,0,0,0,0,0,0,0.004278654692906417,code,booking_error
99,111,110,116,97,105,110,115,0,0,0,0,0.004278559672346644,contains,booking_error
105,110,118,97,108,105,100,0,0,0,0,0,0.0042777478419048385,invalid,booking_error
105,110,115,117,102,102,105,99,105,101,110,116,0.00428329433667496,insufficient,booking_error
100,97,116,97,0,0,0,0,0,0,0,0,0.00428153465373307,data,booking_error
112,114,105,99,101,0,0,0,0,0,0,0,0.004279781436511053,price,booking_error
99,104,97,110,103,101,0,0,0,0,0,0,0.004278562125366089,change,booking_error
104,97,112,112,101,110,101,100,0,0,0,0,0.004278667823456611,happened,booking_error
103,105,118,101,110,0,0,0,0,0,0,0,0.004276877523553163,given,booking_error
112,114,111,100,117,99,116,0,0,0,0,0,0.004275875911035287,product,booking_error
117,115,100,0,0,0,0,0,0,0,0,0,0.004274031926153978,usd,booking_error
112,114,105,99,101,99,104,97,110,103,101,100,0.004279855467158451,pricechanged,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.004403389884643844,comorbitztbsmodelpricechangeexception,booking_error
115,101,108,108,0,0,0,0,0,0,0,0,0.004401400022340782,sell,booking_error
114,97,116,101,0,0,0,0,0,0,0,0,0.004399444384402368,rate,booking_error
114,101,113,117,101,115,116,0,0,0,0,0,0.0043982264559551025,request,booking_error
108,101,115,115,0,0,0,0,0,0,0,0,0.004396191890530112,less,booking_error
114,101,112,114,105,99,101,0,0,0,0,0,0.0043952215911197585,reprice,booking_error
115,101,108,108,0,0,0,0,0,0,0,0,0.004393247861287585,sell,booking_error
114,97,116,101,0,0,0,0,0,0,0,0,0.004391308103610283,rate,booking_error
117,115,100,0,0,0,0,0,0,0,0,0,0.004389426558345799,usd,booking_error
99,104,97,110,103,101,0,0,0,0,0,0,0.004388115180389555,change,booking_error
114,97,116,101,0,0,0,0,0,0,0,0,0.0043861839733387266,rate,booking_error
99,97,110,0,0,0,0,0,0,0,0,0,0.004384510327444408,can,booking_error
112,114,111,99,101,115,115,0,0,0,0,0,0.004383399334372499,process,booking_error
114,101,113,117,101,115,116,110,116,97,116,0,0.004386586886762048,requestntat,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.005411554363616047,comorbitztbshoteltxnhotelreservationserviceimpldopricechangecheckhotelreservationserviceimpljavantat,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.006298104455146993,comorbitztbshoteltxnhotelreservationserviceimplbuildbookcriteriahotelreservationserviceimpljava,booking_error
112,114,105,99,101,0,0,0,0,0,0,0,0.006294654159170158,price,booking_error
99,104,97,110,103,101,100,0,0,0,0,0,0.006291679871614195,changed,booking_error
112,114,111,112,101,114,116,121,0,0,0,0,0.006288265027023478,property,booking_error
97,118,97,105,108,97,98,108,101,0,0,0,0.006286312562810693,available,booking_error
98,111,111,107,105,110,103,0,0,0,0,0,0.006283034037332134,booking,booking_error
116,105,109,101,0,0,0,0,0,0,0,0,0.006279800341485833,time,booking_error
114,97,116,101,0,0,0,0,0,0,0,0,0.006276602876747687,rate,booking_error
97,118,97,105,108,97,98,108,101,0,0,0,0.006274676818809354,available,booking_error
114,101,115,101,114,118,97,116,105,111,110,0,0.006274021881267985,reservation,booking_error
114,101,113,117,101,115,116,0,0,0,0,0,0.006270444363643642,request,booking_error
100,117,112,108,105,99,97,116,101,100,0,0,0.006269170125655793,duplicated,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.006265802678783786,please,booking_error
99,111,114,114,101,99,116,0,0,0,0,0,0.006262489680181131,correct,booking_error
105,110,102,111,114,109,97,116,105,111,110,115,0.006263165048350577,informations,booking_error
99,111,110,116,97,99,116,0,0,0,0,0,0.0062599288138399135,contact,booking_error
117,115,0,0,0,0,0,0,0,0,0,0,0.006257740591313328,us,booking_error
114,101,115,101,114,118,97,116,105,111,110,0,0.006257126530180814,reservation,booking_error
114,101,113,117,105,114,101,115,0,0,0,0,0.006254048723209162,requires,booking_error
97,103,101,110,116,0,0,0,0,0,0,0,0.006250760021157012,agent,booking_error
99,111,110,102,105,114,109,0,0,0,0,0,0.006247537608555052,confirm,booking_error
114,101,115,101,114,118,97,116,105,111,110,0,0.006246947078310829,reservation,booking_error
108,111,99,107,101,100,0,0,0,0,0,0,0.006243730197926392,locked,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.006240453572142958,room,booking_error
99,111,100,101,0,0,0,0,0,0,0,0,0.006237529185270143,code,booking_error
105,110,118,97,108,105,100,0,0,0,0,0,0.006234412536738955,invalid,booking_error
115,111,108,100,111,117,116,0,0,0,0,0,0.006230947003004024,soldout,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.00622769238809651,room,booking_error
116,114,121,105,110,103,0,0,0,0,0,0,0.006224076611850692,trying,booking_error
98,111,111,107,0,0,0,0,0,0,0,0,0.0062210154437573675,book,booking_error
115,111,108,100,0,0,0,0,0,0,0,0,0.00621788762521973,sold,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.006214645498856711,please,booking_error
99,104,111,111,115,101,0,0,0,0,0,0,0.0062113393681636694,choose,booking_error
97,110,111,116,104,101,114,0,0,0,0,0,0.006208177653937897,another,booking_error
101,114,114,111,114,115,115,117,112,112,108,105,0.0062289300850884854,errorssuppliersoldout,booking_error
104,111,116,101,108,0,0,0,0,0,0,0,0.006225594776312387,hotel,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.006222380140996343,room,booking_error
116,121,112,101,0,0,0,0,0,0,0,0,0.0062191199373804705,type,booking_error
102,111,117,110,100,0,0,0,0,0,0,0,0.006215800888487556,found,booking_error
104,111,116,101,108,0,0,0,0,0,0,0,0.006212487614689985,hotel,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.006209286867344032,please,booking_error
115,101,108,101,99,116,0,0,0,0,0,0,0.006206032776553173,select,booking_error
100,105,102,102,101,114,101,110,116,0,0,0,0.006204071148783151,different,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.006200893537494085,room,booking_error
100,97,116,101,115,0,0,0,0,0,0,0,0.006197719484399594,dates,booking_error
104,111,116,101,108,0,0,0,0,0,0,0,0.006194441686391196,hotel,booking_error
115,111,114,114,121,0,0,0,0,0,0,0,0.006190822852150929,sorry,booking_error
97,118,97,105,108,97,98,105,108,105,116,121,0.0061919193209470464,availability,booking_error
102,111,117,110,100,0,0,0,0,0,0,0,0.006188659017523261,found,booking_error
114,101,115,101,114,118,97,116,105,111,110,0,0.006188199214682195,reservation,booking_error
114,101,113,117,101,115,116,0,0,0,0,0,0.0061848941560393314,request,booking_error
118,101,114,105,102,121,0,0,0,0,0,0,0.006181497273871103,verify,booking_error
97,110,111,116,104,101,114,0,0,0,0,0,0.0061784432981020826,another,booking_error
99,104,111,105,99,101,0,0,0,0,0,0,0.006175471913460868,choice,booking_error
97,118,97,105,108,97,98,108,101,0,0,0,0.006173798801769646,available,booking_error
115,101,108,101,99,116,105,111,110,115,0,0,0.006172496942384088,selections,booking_error
99,111,109,112,108,101,116,101,0,0,0,0,0.0061698934674445285,complete,booking_error
112,117,114,99,104,97,115,101,0,0,0,0,0.006167277586744873,purchase,booking_error
115,117,112,112,108,105,101,114,0,0,0,0,0.006164426245503159,supplier,booking_error
114,101,97,100,121,0,0,0,0,0,0,0,0.006161304068216089,ready,booking_error
99,111,114,112,111,114,97,116,101,0,0,0,0.006159220289063261,corporate,booking_error
110,117,109,98,101,114,0,0,0,0,0,0,0.00615600930359487,number,booking_error
115,117,112,112,108,105,101,100,0,0,0,0,0.00615332206686892,supplied,booking_error
105,110,118,97,108,105,100,0,0,0,0,0,0.006150440539661085,invalid,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.006147393920450106,please,booking_error
99,111,114,114,101,99,116,0,0,0,0,0,0.0061444199536687255,correct,booking_error
100,101,108,101,116,101,0,0,0,0,0,0,0.006141452924141222,delete,booking_error
105,110,102,111,114,109,97,116,105,111,110,0,0.006141206467410001,information,booking_error
102,105,101,108,100,0,0,0,0,0,0,0,0.0061382997089917055,field,booking_error
99,111,114,112,111,114,97,116,101,0,0,0,0.006136273279578577,corporate,booking_error
101,110,116,101,114,101,100,0,0,0,0,0,0.006133435713676308,entered,booking_error
99,111,110,116,97,105,110,101,100,0,0,0,0.006131668948767356,contained,booking_error
105,108,108,101,103,97,108,0,0,0,0,0,0.006128967376000644,illegal,booking_error
99,104,97,114,97,99,116,101,114,115,0,0,0.00612800630222895,characters,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.006125020060985396,please,booking_error
99,111,114,114,101,99,116,0,0,0,0,0,0.00612210956598405,correct,booking_error
102,114,101,113,117,101,110,116,0,0,0,0,0.0061194762734510175,frequent,booking_error
103,117,101,115,116,0,0,0,0,0,0,0,0.006116280428911542,guest,booking_error
101,110,116,101,114,101,100,0,0,0,0,0,0.006113493110806256,entered,booking_error
99,111,110,116,97,105,110,101,100,0,0,0,0.006111772429958153,contained,booking_error
105,108,108,101,103,97,108,0,0,0,0,0,0.006109119158599259,illegal,booking_error
99,104,97,114,97,99,116,101,114,115,0,0,0.0061081993997081155,characters,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.0061052610665183185,please,booking_error
99,111,114,114,101,99,116,0,0,0,0,0,0.006102401270093273,correct,booking_error
102,114,101,113,117,101,110,116,0,0,0,0,0.006099819496786311,frequent,booking_error
103,117,101,115,116,0,0,0,0,0,0,0,0.00609667080987546,guest,booking_error
110,117,109,98,101,114,0,0,0,0,0,0,0.006093617086031242,number,booking_error
115,117,112,112,108,105,101,100,0,0,0,0,0.006091092148355281,supplied,booking_error
105,110,118,97,108,105,100,0,0,0,0,0,0.006088366289289846,invalid,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.006085469644763661,please,booking_error
99,111,114,114,101,99,116,0,0,0,0,0,0.00608265444310804,correct,booking_error
100,101,108,101,116,101,0,0,0,0,0,0,0.006079833770447643,delete,booking_error
105,110,102,111,114,109,97,116,105,111,110,0,0.006079705361175775,information,booking_error
102,105,101,108,100,0,0,0,0,0,0,0,0.006076932249927922,field,booking_error
98,111,111,107,105,110,103,0,0,0,0,0,0.006074222283873925,booking,booking_error
99,111,110,102,105,114,109,101,100,0,0,0,0.006072571234990778,confirmed,booking_error
114,101,102,101,114,0,0,0,0,0,0,0,0.006069666785516024,refer,booking_error
112,101,110,100,105,110,103,0,0,0,0,0,0.006067010495185199,pending,booking_error
112,114,111,99,101,115,115,0,0,0,0,0,0.006064123443633062,process,booking_error
104,111,116,101,108,0,0,0,0,0,0,0,0.006061161896048773,hotel,booking_error
117,110,97,98,108,101,0,0,0,0,0,0,0.006058353037072998,unable,booking_error
112,114,111,118,105,100,101,0,0,0,0,0,0.006055538676369123,provide,booking_error
105,116,105,110,101,114,97,114,121,0,0,0,0.006053636811979735,itinerary,booking_error
110,117,109,98,101,114,0,0,0,0,0,0,0.006050682389265713,number,booking_error
114,101,115,101,114,118,97,116,105,111,110,0,0.0060504991944630325,reservation,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.006047691013452648,please,booking_error
116,114,121,0,0,0,0,0,0,0,0,0,0.006045112401520315,try,booking_error
109,97,107,101,0,0,0,0,0,0,0,0,0.006042550343555728,make,booking_error
114,101,115,101,114,118,97,116,105,111,110,0,0.0060423823676998495,reservation,booking_error
108,97,116,101,114,0,0,0,0,0,0,0,0.006039506436558585,later,booking_error
116,105,109,101,0,0,0,0,0,0,0,0,0.00603680384968327,time,booking_error
109,97,120,105,109,117,109,0,0,0,0,0,0.006033998948638784,maximum,booking_error
110,117,109,98,101,114,0,0,0,0,0,0,0.0060310904130989225,number,booking_error
112,101,114,115,111,110,115,0,0,0,0,0,0.00602819095017008,persons,booking_error
112,101,114,0,0,0,0,0,0,0,0,0,0.006025855562726989,per,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.0060230489702057825,room,booking_error
101,120,99,101,101,100,101,100,0,0,0,0,0.006021107502613008,exceeded,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.006018309265714177,room,booking_error
99,97,112,97,99,105,116,121,0,0,0,0,0.0060161735537676495,capacity,booking_error
98,101,121,111,110,100,0,0,0,0,0,0,0.0060133711811062975,beyond,booking_error
109,97,120,105,109,117,109,0,0,0,0,0,0.006010616194468713,maximum,booking_error
110,117,109,98,101,114,0,0,0,0,0,0,0.006007754326051367,number,booking_error
97,108,108,111,119,101,100,0,0,0,0,0,0.006005204944697463,allowed,booking_error
109,117,108,116,105,114,111,111,109,0,0,0,0.006003265889018302,multiroom,booking_error
98,111,111,107,105,110,103,0,0,0,0,0,0.006000719116363843,booking,booking_error
109,117,115,116,0,0,0,0,0,0,0,0,0.005997852854826695,must,booking_error
100,105,102,102,101,114,101,110,116,117,110,105,0.006003637190270516,differentunique,booking_error
103,117,101,115,116,0,0,0,0,0,0,0,0.006000704721634955,guest,booking_error
110,97,109,101,0,0,0,0,0,0,0,0,0.005998198520691547,name,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.005995451227208874,room,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.005992761792959965,please,booking_error
99,111,114,114,101,99,116,0,0,0,0,0,0.005990166113728256,correct,booking_error
105,110,102,111,114,109,97,116,105,111,110,115,0.0059912711070165756,informations,booking_error
112,111,115,116,0,0,0,0,0,0,0,0,0.005988462735504231,post,booking_error
114,101,115,101,114,118,97,116,105,111,110,0,0.005988393180993834,reservation,booking_error
110,117,109,98,101,114,0,0,0,0,0,0,0.005985597468295951,number,booking_error
114,111,111,109,115,0,0,0,0,0,0,0,0.005982637446337073,rooms,booking_error
114,101,113,117,101,115,116,101,100,0,0,0,0.005980950570013571,requested,booking_error
103,114,101,97,116,101,114,0,0,0,0,0,0.005978458571963047,greater,booking_error
109,97,120,105,109,117,109,0,0,0,0,0,0.005975800122465525,maximum,booking_error
110,117,109,98,101,114,0,0,0,0,0,0,0.005973030997120722,number,booking_error
114,111,111,109,115,0,0,0,0,0,0,0,0.005970096783682373,rooms,booking_error
97,108,108,111,119,101,100,0,0,0,0,0,0.0059676432182484565,allowed,booking_error
112,101,114,0,0,0,0,0,0,0,0,0,0.005965406182932036,per,booking_error
98,111,111,107,105,110,103,0,0,0,0,0,0.005962952838789177,booking,booking_error
114,101,113,117,101,115,116,101,100,0,0,0,0.005961306771815141,requested,booking_error
110,117,109,98,101,114,0,0,0,0,0,0,0.0059585669043546305,number,booking_error
110,105,103,104,116,115,0,0,0,0,0,0,0.005955798125849666,nights,booking_error
108,101,115,115,0,0,0,0,0,0,0,0,0.005953182692993087,less,booking_error
109,105,110,105,109,117,109,0,0,0,0,0,0.005950593408846876,minimum,booking_error
110,117,109,98,101,114,0,0,0,0,0,0,0.005947873198617654,number,booking_error
110,105,103,104,116,115,0,0,0,0,0,0,0.005945124204708919,nights,booking_error
114,101,113,117,105,114,101,100,0,0,0,0,0.005942991080111474,required,booking_error
115,116,97,121,0,0,0,0,0,0,0,0,0.005940311848247095,stay,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.005937669703307221,room,booking_error
114,97,116,101,0,0,0,0,0,0,0,0,0.005935173862092127,rate,booking_error
99,104,97,110,103,101,100,0,0,0,0,0,0.005933039550293948,changed,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.005930407915547873,room,booking_error
116,121,112,101,0,0,0,0,0,0,0,0,0.005927737688601353,type,booking_error
114,97,116,101,0,0,0,0,0,0,0,0,0.005925255037160539,rate,booking_error
115,101,108,101,99,116,101,100,0,0,0,0,0.005923359503006714,selected,booking_error
108,111,110,103,101,114,0,0,0,0,0,0,0.005920705330302809,longer,booking_error
97,118,97,105,108,97,98,108,101,0,0,0,0.005919550183973403,available,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.005917013580644662,please,booking_error
99,104,111,111,115,101,0,0,0,0,0,0,0.005914423303984077,choose,booking_error
97,110,111,116,104,101,114,0,0,0,0,0,0.005912003201415363,another,booking_error
115,101,108,101,99,116,101,100,0,0,0,0,0.005910135114287557,selected,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.0059075421425678135,room,booking_error
115,111,108,100,0,0,0,0,0,0,0,0,0.005905043388125871,sold,booking_error
112,114,111,98,108,101,109,0,0,0,0,0,0.00590264154322767,problem,booking_error
98,111,111,107,105,110,103,0,0,0,0,0,0.005900310733949956,booking,booking_error
99,111,109,109,117,110,105,99,97,116,105,110,0.0059030152359188775,communicating,booking_error
98,97,99,107,101,110,100,0,0,0,0,0,0.005900962362631619,backend,booking_error
115,117,112,112,108,105,101,114,0,0,0,0,0.00589876793770506,supplier,booking_error
98,111,111,107,105,110,103,0,0,0,0,0,0.005896453234028707,booking,booking_error
119,105,108,108,0,0,0,0,0,0,0,0,0.005893931687359465,will,booking_error
114,101,115,111,108,118,101,100,0,0,0,0,0.005891883038468052,resolved,booking_error
97,117,116,111,109,97,116,105,99,97,108,108,0.005894495063330947,automatically,booking_error
119,105,116,104,105,110,0,0,0,0,0,0,0.005891817600504913,within,booking_error
109,105,110,117,116,101,115,0,0,0,0,0,0.005889295219660572,minutes,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.005886831079597021,please,booking_error
112,114,111,99,101,115,115,0,0,0,0,0,0.0058843676346394804,process,booking_error
100,117,112,108,105,99,97,116,101,0,0,0,0.005883072801465208,duplicate,booking_error
98,111,111,107,105,110,103,0,0,0,0,0,0.005880797273037656,booking,booking_error
105,116,105,110,101,114,97,114,121,0,0,0,0.005879283819956858,itinerary,booking_error
99,104,101,99,107,0,0,0,0,0,0,0,0.005876950385302851,check,booking_error
109,97,100,101,0,0,0,0,0,0,0,0,0.005874737050239195,made,booking_error
99,111,110,102,105,114,109,0,0,0,0,0,0.0058724380200431804,confirm,booking_error
115,116,97,116,117,115,0,0,0,0,0,0,0.005869670084500249,status,booking_error
98,111,111,107,105,110,103,0,0,0,0,0,0.005867420908019337,booking,booking_error
97,116,116,101,109,112,116,0,0,0,0,0,0.005864999849565243,attempt,booking_error
112,114,111,98,108,101,109,0,0,0,0,0,0.005862695995857737,problem,booking_error
104,111,116,101,108,0,0,0,0,0,0,0,0.00586014877673524,hotel,booking_error
114,111,111,109,0,0,0,0,0,0,0,0,0.005857655071546295,room,booking_error
114,101,115,101,114,118,97,116,105,111,110,0,0.005857803676067964,reservation,booking_error
112,108,101,97,115,101,0,0,0,0,0,0,0.005855403191124516,please,booking_error
115,101,108,101,99,116,0,0,0,0,0,0,0.005852959093208309,select,booking_error
97,110,111,116,104,101,114,0,0,0,0,0,0.005850680742915126,another,booking_error
100,97,116,101,0,0,0,0,0,0,0,0,0.00584845131992479,date,booking_error
100,105,102,102,101,114,101,110,116,0,0,0,0.005847255628801458,different,booking_error
104,111,116,101,108,0,0,0,0,0,0,0,0.005844738959958596,hotel,booking_error
116,114,121,0,0,0,0,0,0,0,0,0,0.00584248893270516,try,booking_error
112,114,111,100,117,99,116,0,0,0,0,0,0.00584010411170905,product,booking_error
99,117,114,114,101,110,116,108,121,0,0,0,0.005838536839744612,currently,booking_error
97,118,97,105,108,97,98,108,101,0,0,0,0.005837532973075082,available,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.005965291911009575,comorbitztbsmodelproductunavailableexception,booking_error
112,114,111,109,111,116,101,100,0,0,0,0,0.0059631845646211865,promoted,booking_error
117,110,112,114,111,109,111,116,101,100,0,0,0.005962227870985341,unpromoted,booking_error
115,101,108,108,114,97,116,101,115,0,0,0,0.005960714610030608,sellrates,booking_error
114,101,112,114,105,99,101,0,0,0,0,0,0.005958424385050709,reprice,booking_error
110,117,108,108,110,116,97,116,0,0,0,0,0.00595627192000597,nullntat,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.006799129979352106,comorbitztbshoteltxnhotelreservationserviceimplvalidatehotelselectinfohotelreservationserviceimpljavantat,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.007505676889815259,comorbitztbshoteltxnhotelreservationserviceimplloadbookcriteriahotelreservationserviceimpljavantat,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.008639854106004765,comorbitztbshoteltxnhotelreservationservicevalidatingdecoratorloadbookcriteriahotelreservationservicevalidatingdecoratorjava,booking_error
112,114,111,100,117,99,116,0,0,0,0,0,0.008634877851871158,product,booking_error
99,117,114,114,101,110,116,108,121,0,0,0,0.008629856071716537,currently,booking_error
97,118,97,105,108,97,98,108,101,0,0,0,0.008625623673069752,available,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.008729086744232664,comorbitztbsmodelproductunavailableexception,booking_error
111,99,99,117,112,97,110,99,121,0,0,0,0.008724373002661859,occupancy,booking_error
118,97,108,105,100,97,116,105,111,110,0,0,0.00872002353979697,validation,booking_error
101,114,114,111,114,0,0,0,0,0,0,0,0.008715586646443906,error,booking_error
102,105,110,100,0,0,0,0,0,0,0,0,0.008712001708070634,find,booking_error
97,118,97,105,108,97,98,105,108,105,116,121,0.00870883203029486,availability,booking_error
114,101,113,117,101,115,116,101,100,0,0,0,0.008704026310219631,requested,booking_error
114,111,111,109,115,110,116,97,116,0,0,0,0.008699003842536074,roomsntat,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.009515227860161788,comorbitztbshotelshopselectpostselectionprocessorcreatestatelesshotelselectinfopostselectionprocessorjavantat,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.010291870679286087,comorbitztbshotelshopselectworkflowstatelesshotelrepriceworkflowexecutestatelesshotelrepriceworkflowjavantat,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.010635487914313966,comorbitztbshotelshopselectstatelessrepricerdoinmonitorstatelessrepricerjava,booking_error
112,114,111,100,117,99,116,0,0,0,0,0,0.010628939661067465,product,booking_error
99,117,114,114,101,110,116,108,121,0,0,0,0.010621798788356023,currently,booking_error
97,118,97,105,108,97,98,108,101,0,0,0,0.01061557867272893,available,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.010648269208496168,comorbitztbsmodelsystemexception,booking_error
99,97,117,103,104,116,0,0,0,0,0,0,0.01064251565663616,caught,booking_error
101,120,99,101,112,116,105,111,110,0,0,0,0.010635727037198584,exception,booking_error
108,97,112,115,97,110,103,0,0,0,0,0,0.010629581120662968,lapsang,booking_error
108,111,111,107,117,112,104,111,116,101,108,115,0.010643945147479045,lookuphotelsbymasteridntat,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.010997248338076093,comorbitztbshotelmgrhotelsearchmgrlookuphotelsbymasteridhotelsearchmgrjavantat,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.01128509169745371,comorbitztbshotelmgrhotelsearchmgrsearchbymasteridhotelsearchmgrjavantat,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.011482294954685992,comorbitztbshotelmgrhotelsearchmgrsearchhotelsearchmgrjavantat,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.011849544231140983,comorbitztbshotelshopsvchotelfetchserviceimplfetchhotelshotelfetchserviceimpljava,booking_error
112,114,111,100,117,99,116,0,0,0,0,0,0.011842250224569889,product,booking_error
99,117,114,114,101,110,116,108,121,0,0,0,0.011834074195838843,currently,booking_error
97,118,97,105,108,97,98,108,101,0,0,0,0.011826874283726843,available,booking_error
99,111,109,111,114,98,105,116,122,116,98,115,0.011853162659155187,comorbitztbsmodelsystemexception,booking_error
104,111,116,101,108,0,0,0,0,0,0,0,0.011847372782274084,hotel,booking_error
98,111,111,107,105,110,103,0,0,0,0,0,0.01184045865160511,booking,booking_error
102,97,105,108,101,100,0,0,0,0,0,0,0.011834442520241906,failed,booking_error
100,117,101,0,0,0,0,0,0,0,0,0,0.011830620656525946,due,booking_error
104,111,116,101,108,0,0,0,0,0,0,0,0.011824859089704775,hotel,booking_error
98,111,111,107,105,110,103,0,0,0,0,0,0.011817981267768639,booking,booking_error
101,114,114,111,114,0,0,0,0,0,0,0,0.011812048819369463,error,booking_error
104,111,116,101,108,98,111,111,107,101,120,99,0.011808609169170163,hotelbookexception,booking_error
99,111,109,111,114,98,105,116,122,104,111,116,0.011883679542537053,comorbitzhotelmodelservicehotelbookexception,booking_error
104,111,116,101,108,0,0,0,0,0,0,0,0.011877940958780598,hotel,booking_error
